"AFR",1,"grayscale_24_oliva.jpg",471,190,5,1.3336,1.7672,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_7_kitchen.jpg",215,792,5,1.5002,1.8671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_49_oliva.jpg",436,942,5,1.3169,1.8171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_32_opensource.jpg",570,914,5,1.5002,2.0006,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_75_oliva.jpg",459,173,5,1.5669,1.9673,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_85_oliva.jpg",405,998,25,1.8168,3.0169,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_15_housebeautiful.jpg",718,908,5,1.4669,1.9339,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_14_other.jpg",474,338,93,4.2335,6.0002,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_6_opensource.jpg",308,548,5,1.3503,1.8171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_35_housebeautiful.jpg",493,372,5,1.0335,1.5004,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_35_oliva.jpg",513,976,69,1.2503,2.6836,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_10_opensource.jpg",498,731,5,1.4502,1.8837,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_83_oliva.jpg",661,1078,13,2.0669,2.8336,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_3_kitchen.jpg",376,243,5,1.5503,2.0839,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_81_oliva.jpg",592,1048,5,1.4835,2.0505,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_27_housebeautiful.jpg",571,963,141,2.2836,4.8171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_42_oliva.jpg",257,425,5,1.517,1.9839,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_1_oliva.jpg",723,281,5,1.2501,1.8171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_77_oliva.jpg",241,209,5,1.7335,2.3337,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_44_oliva.jpg",437,479,5,1.2336,1.6338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_62_oliva.jpg",379,636,39,2.1503,2.9171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_64_oliva.jpg",442,402,5,1.7169,2.1505,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_10_kitchen.jpg",675,810,121,2.6836,4.9169,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_43_oliva.jpg",281,918,5,1.5835,2.1504,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_86_oliva.jpg",487,910,49,2.2168,3.0505,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_2_oliva.jpg",453,1069,5,2.3002,2.9336,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_38_housebeautiful.jpg",514,1059,5,1.1836,1.7172,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_23_oliva.jpg",606,952,5,1.567,2.1672,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_22_housebeautiful.jpg",383,318,9,1.6668,3.6004,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_88_oliva.jpg",408,185,9,2.2669,3.4338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_9_other.jpg",392,863,91,3.067,4.7335,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_29_housebeautiful.jpg",263,387,5,2.4835,3.0171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_65_oliva.jpg",430,974,115,1.6169,3.717,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_74_oliva.jpg",352,622,99,6.9168,8.6836,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_23_housebeautiful.jpg",752,728,5,1.7336,2.1338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_28_housebeautiful.jpg",636,280,5,1.8837,2.5171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_31_oliva.jpg",370,767,5,1.3168,1.6836,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_2_opensource.jpg",390,1015,11,1.1335,3.7669,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_16_opensource.jpg",487,1058,5,1.9002,2.4338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_37_oliva.jpg",449,308,99,2.3502,4.1503,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_94_oliva.jpg",344,1034,5,1.8003,2.1672,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_71_oliva.jpg",474,522,5,2.3669,3.2672,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_39_housebeautiful.jpg",698,735,5,1.4668,2.0004,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_36_housebeautiful.jpg",637,698,5,1.5502,2.0171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_20_opensource.jpg",311,532,5,1.667,2.1672,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_4_kitchen.jpg",427,391,63,2.05,3.2168,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_10_housebeautiful.jpg",593,260,31,2.0336,3.0336,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_40_oliva.jpg",500,205,5,1.7169,2.4838,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_8_other.jpg",304,399,127,2.6502,5.3502,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_15_oliva.jpg",581,994,25,1.1834,2.1834,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_14_kitchen.jpg",464,195,5,1.7002,2.2337,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_59_oliva.jpg",599,953,5,2.0336,2.7339,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_92_oliva.jpg",462,406,5,1.7669,2.3337,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_55_oliva.jpg",289,380,5,2.1335,2.6338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_73_oliva.jpg",642,687,53,1.8669,3.067,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_30_opensource.jpg",374,953,5,1.4669,1.9336,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_3_other.jpg",521,411,5,1.4334,1.8671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_1_housebeautiful.jpg",295,314,5,1.5502,2.0171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_14_oliva.jpg",415,957,5,1.1002,1.5669,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_1_kitchen.jpg",409,1011,5,1.3168,1.9837,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_7_opensource.jpg",433,535,87,1.367,2.9669,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_5_housebeautiful.jpg",368,599,5,1.9334,2.5338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_8_kitchen.jpg",319,339,9,1.4501,3.5837,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_11_opensource.jpg",582,1012,155,15.7,44.1999,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_18_housebeautiful.jpg",492,585,69,5.9502,15.7502,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_100_oliva.jpg",519,864,5,1.6336,27.2003,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_17_oliva.jpg",599,383,13,1.817,7.517,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_16_housebeautiful.jpg",534,356,57,2.7501,4.7837,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_13_oliva.jpg",342,884,13,2.0167,5.3504,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_21_housebeautiful.jpg",515,240,5,1.5167,2.217,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_72_oliva.jpg",478,720,5,1.8001,2.7337,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_8_oliva.jpg",491,1024,69,2.5334,4.4504,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_21_kitchen.jpg",479,875,5,2.1336,2.567,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_14_housebeautiful.jpg",693,221,5,1.1002,1.8671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_1_opensource.jpg",488,858,13,2.0334,4.1002,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_11_oliva.jpg",375,843,5,1.4003,1.9005,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_30_housebeautiful.jpg",393,621,57,2.3834,3.9502,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_6_other.jpg",329,890,5,1.35,1.6837,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_18_opensource.jpg",373,868,5,1.4169,1.9504,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_98_oliva.jpg",534,1006,5,0.86682,1.267,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_5_opensource.jpg",699,846,5,1.2501,1.5838,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_16_oliva.jpg",332,844,5,1.3001,1.6669,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_6_airbnb.jpg",714,337,5,1.3335,1.6671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_13_kitchen.jpg",558,913,5,1.4669,1.9672,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_19_kitchen.jpg",448,866,147,2.7501,6.1168,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_21_opensource.jpg",425,873,45,1.4668,3.5336,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_50_oliva.jpg",276,635,5,1.2668,4.1337,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_29_oliva.jpg",478,978,5,1.3669,1.6671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_13_opensource.jpg",494,627,27,2.8668,4.0002,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_58_oliva.jpg",435,1074,5,0.98335,1.4503,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_28_oliva.jpg",604,969,5,1.9334,2.3002,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_4_oliva.jpg",261,531,5,1.6667,2.1337,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_45_oliva.jpg",749,583,17,1.6501,2.7836,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_68_oliva.jpg",513,584,179,1.5834,5.1503,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_4_other.jpg",465,365,19,1.9334,2.8669,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_52_oliva.jpg",509,914,157,2.0002,5.0003,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_4_housebeautiful.jpg",436,694,129,1.7669,4.3003,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_84_oliva.jpg",520,358,265,2.2835,7.117,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"ALS",2,"grayscale_20_housebeautiful.jpg",551,807,5,1.3501,1.7171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
